agency_slug,client_slug,local_client_path,local_layout,directory_status,supabase_client_id,supabase_paid_ads_id,client_name,website_url,google_ads_customer_id,google_ads_login_customer_id,gads_status,discord_channel_id,report_cadence,gads_owner_identity,allowed_agents,api_visibility_status,mismatch_notes,last_checked_at
arc,advertisingreportcard,clients/arc/advertisingreportcard,agency_client,exists,f513d17e-96d7-443e-bab3-5a4d162bddbb,,AdvertisingReportCard.com,https://advertisingreportcard.com/,4321068688,2119931898,configured,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,bayareatherapyforwellness,clients/arc/bayareatherapyforwellness,agency_client,exists,2e002906-d9bd-467d-b9b7-fc8466ae0707,,BayAreaTherapyForWellness.com,BayAreaTherapyForWellness.com,6577823994,2119931898,configured,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,fdl_xibalba,clients/arc/fdl_xibalba,agency_client,exists,e5d44fdb-a897-4938-b278-6281c39c5099,b5b7db4c-bd6c-4e51-a65d-e49739221889,fdlxibalba,https://www.fdlxibalba.com/welcome,9592862003,,configured,1478284208052113509,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,intensivetherapyretreat,clients/arc/intensivetherapyretreat,agency_client,exists,582888db-da0a-4ce4-9df4-b67cb6827510,,IntensiveTherapyRetreat.com,IntensiveTherapyRetreat.com,1925369919,2119931898,configured,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,likeaflashmoving,clients/arc/likeaflashmoving,agency_client,exists,92105f4f-49f8-4a49-b41a-8956f1640da5,,LikeAFlashMoving.com,LikeAFlashMoving.com,,,missing_customer_id,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,proximahire,clients/arc/proximahire,agency_client,exists,28924aa4-40fc-4c7b-95cd-12167b3d2d4e,,ProximaHire.com,ProximaHire.com,,,missing_customer_id,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,sfbayareamoving,clients/arc/sfbayareamoving,agency_client,exists,b3a9fb8f-173d-43b9-94df-7e41b9300fe1,7d1d9184-8a9e-453d-a1fd-d81fbab02de9,SFBayAreaMoving.com,SFBayAreaMoving.com,4052373164,2119931898,configured,1478284209423384657,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
arc,soflocustom,clients/arc/soflocustom,agency_client,exists,6c3332fc-c727-480f-966f-881ee2c59877,,SoFloCustom.com,SoFloCustom.com,2398907432,,configured,,,ARC,proposal_only,visible,"Matched by normalized name, website, or slug.",2026-05-04T19:39:58+00:00
,brain_based_emdr,clients/brain_based_emdr,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,collab_med_spa,clients/collab_med_spa,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,evolution_restoration_and_renovation,clients/evolution_restoration_and_renovation,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,full_tilt_auto_body,clients/full_tilt_auto_body,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,fulltilt_autobody,clients/fulltilt_autobody,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,my_expert_resume,clients/my_expert_resume,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,skytherapies,clients/skytherapies,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,wrights,clients/wrights,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
,wrights_impact_window_and_door,clients/wrights_impact_window_and_door,legacy,local_only,,,,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
arc,emorrison_consulting,clients/arc/emorrison_consulting,agency_client,local_only,,,EM Consulting,https://www.emorrisonconsulting.com/,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
arc,nkpsych,clients/arc/nkpsych,agency_client,local_only,,,NKPsych,https://www.nkpsych.com/,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
therappc,nyc_mindful_mental_health_counseling,clients/therappc/nyc_mindful_mental_health_counseling,agency_client,local_only,,,Mindful Mental Health Counseling,https://nycmindfulmentalhealthcounseling.com/,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
therappc,thinkhappylivehealthy,clients/therappc/thinkhappylivehealthy,agency_client,local_only,,,Think Happy Live Healthy,,,,local_only,,,ARC,proposal_only,not_checked,Local directory has no matching active Supabase end-client row.,2026-05-04T19:39:58+00:00
