Campaign,Search theme,Source,Status
TPPC - Regional - Medspas,medspa near me,search_theme,Enabled
TPPC - Regional - Medspas,medical spa scottsdale,search_theme,Enabled
TPPC - Regional - Medspas,spa near me,search_theme,Enabled
TPPC - Regional - Medspas,wellness spa scottsdale,search_theme,Enabled
TPPC - Regional - Facials,facial near me,search_theme,Enabled
TPPC - Regional - Facials,hydrafacial scottsdale,search_theme,Enabled
TPPC - Regional - Facials,microneedling near me,search_theme,Enabled
TPPC - Regional - Facials,dermaplaning near me,search_theme,Enabled
TPPC - Regional - Facials,facials scottsdale,search_theme,Enabled
TPPC - Regional - Fillers,dermal fillers near me,search_theme,Enabled
TPPC - Regional - Fillers,lip filler scottsdale,search_theme,Enabled
TPPC - Regional - Fillers,under eye filler,search_theme,Enabled
TPPC - Regional - Laser,laser hair removal,search_theme,Enabled
TPPC - Regional - Laser,laser hair removal scottsdale,search_theme,Enabled
TPPC - Brand,collab medspa,search_theme,Enabled
TPPC - Brand,collab med spa scottsdale,search_theme,Enabled
